author_name,citation_count,h_index,document_count,scopus_author_id,scopus_indexed_name,scopus_affiliation_name,match_status,match_score,query_used,error_message,review_status
VALDEREZ PONTES MATOS,356.0,11.0,32.0,16230560800.0,,Universidade Federal Rural de Pernambuco,matched,131.0,"AUTHLAST(MATOS) AND AUTHFIRST(VALDEREZ) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
MARCIA ALMEIDA DE MELO,0.0,0.0,2.0,59945708000.0,,Universidade Federal Rural de Pernambuco,matched,86.0,"AUTHLAST(MELO) AND AUTHFIRST(MARCIA) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,rejected
FERNANDA MARIA DUARTE DO AMARAL,296.0,11.0,16.0,7004553430.0,,Universidade Federal Rural de Pernambuco,matched,125.0,"AUTHLAST(AMARAL) AND AUTHFIRST(FERNANDA) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
HUMBERTO GOMES HAZIN,613.0,13.0,28.0,23975871500.0,,Universidade Federal Rural do Semi-Árido,matched,61.0,"AUTHLAST(HAZIN) AND AUTHFIRST(HUMBERTO) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,rejected
MAITE KULESZA,24.0,2.0,2.0,54398772400.0,,Universidade Federal Rural de Pernambuco,matched,150.0,"AUTHLAST(KULESZA) AND AUTHFIRST(MAITE) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
MARCELO DE OLIVEIRA MILFONT,55.0,3.0,3.0,33068037400.0,,Universidade Federal Rural de Pernambuco,matched,130.0,"AUTHLAST(MILFONT) AND AUTHFIRST(MARCELO) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
OMER CAVALCANTI DE ALMEIDA,110.0,7.0,14.0,25621104500.0,,Universidade Federal Rural de Pernambuco,matched,127.0,"AUTHLAST(ALMEIDA) AND AUTHFIRST(OMER) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
KALINA VANDERLEI PAIVA DA SILVA,305.0,6.0,17.0,59495841100.0,,National Semiarid Institute-INSA,matched,18.0,"AUTHLAST(SILVA) AND AUTHFIRST(KALINA) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,rejected
IRANILSON BURITI DE OLIVEIRA,819.0,14.0,92.0,35446590600.0,,Universidade Federal Rural de Pernambuco,matched,118.0,[last-only+afid] AUTHLAST(OLIVEIRA) AND AF-ID(60000958),,accepted
VICENTE IMBROISI TEIXEIRA,91.0,5.0,11.0,36136310000.0,,Universidade Federal Rural de Pernambuco,matched,130.0,"AUTHLAST(TEIXEIRA) AND AUTHFIRST(VICENTE) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
ISABELLE MARIA JACQUELINE MEUNIER,168.0,7.0,13.0,57033926600.0,,Universidade Federal Rural de Pernambuco,matched,130.0,"AUTHLAST(MEUNIER) AND AUTHFIRST(ISABELLE) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
ROSA DE LIMA RAMOS MARIANO,28.0,2.0,2.0,57189759317.0,,Universidade Federal Rural de Pernambuco,matched,120.0,"AUTHLAST(MARIANO) AND AUTHFIRST(ROSA) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
MARIO DE ANDRADE LIRA,537.0,13.0,34.0,59961114400.0,,Universidade Federal Rural de Pernambuco,matched,131.0,"AUTHLAST(LIRA) AND AUTHFIRST(MARIO) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
SEVERINO BENONE PAES BARBOSA,247.0,9.0,33.0,25621234500.0,,Universidade Federal Rural de Pernambuco,matched,131.0,"AUTHLAST(BARBOSA) AND AUTHFIRST(SEVERINO) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
MARIA EULALIA DE MORAES MELO,18.0,3.0,8.0,56344754300.0,,Universidade Federal Rural de Pernambuco,matched,113.0,"AUTHLAST(MELO) AND AUTHFIRST(MARIA) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
ANDRE AUGUSTO PIMENTEL LIESEN NASCIMENTO,465.0,10.0,38.0,23668677400.0,,Universidade Federal Rural de Pernambuco,matched,115.0,"AUTHLAST(NASCIMENTO) AND AUTHFIRST(ANDRE) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
VERA LUCIA ARROXELAS GALVAO DE LIMA,284.0,5.0,9.0,7005981653.0,,Universidade Federal Rural de Pernambuco,matched,130.0,"AUTHLAST(LIMA) AND AUTHFIRST(VERA) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
JOAO HUGO BARACUY DA CUNHA CAMPOS,27.0,2.0,4.0,54411954600.0,,Universidade Federal Rural de Pernambuco,matched,109.0,[last-only+afid] AUTHLAST(CAMPOS) AND AF-ID(60000958),,accepted
MARIA APARECIDA DA GLORIA FAUSTINO,704.0,17.0,49.0,6601979741.0,,Universidade Federal Rural de Pernambuco,matched,132.0,"AUTHLAST(FAUSTINO) AND AUTHFIRST(MARIA) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
WILSON TREGER ZYDOWICZ DE SOUSA,312.0,9.0,40.0,27868149800.0,,Universidade Federal Rural de Pernambuco,matched,109.0,[last-only+afid] AUTHLAST(SOUSA) AND AF-ID(60000958),,accepted
ALVARO JOSE DE ALMEIDA BICUDO,706.0,14.0,40.0,56141449900.0,,Universidade Federal do Parana,matched,42.0,"AUTHLAST(BICUDO) AND AUTHFIRST(ALVARO) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,rejected
DANIELA MOREIRA DE CARVALHO,2.0,1.0,1.0,57194046620.0,,Universidade Federal Rural de Pernambuco,matched,125.0,"AUTHLAST(CARVALHO) AND AUTHFIRST(DANIELA) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
FABIANA DE FATIMA BRUCE DA SILVA,28.0,1.0,1.0,57213015798.0,,Universidade Federal Rural de Pernambuco,matched,119.0,"AUTHLAST(SILVA) AND AUTHFIRST(FABIANA) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
JARCILENE SILVA DE ALMEIDA,432.0,13.0,44.0,36147087600.0,,Universidade Federal Rural de Pernambuco,matched,115.0,[last-only+afid] AUTHLAST(ALMEIDA) AND AF-ID(60000958),,accepted
LEANDRO MANZONI VIEIRA,40.0,3.0,4.0,57222616521.0,,Universidade Federal Rural de Pernambuco,matched,114.0,[last-only+afid] AUTHLAST(VIEIRA) AND AF-ID(60000958),,accepted
MARCELO FRANCISCO POMPELLI,1665.0,22.0,69.0,13406673300.0,,Universidade Federal de Pernambuco,matched,73.0,[last+first-no-affil] AUTHLAST(POMPELLI) AND AUTHFIRST(MARCELO),,accepted
PERICLES DE ALBUQUERQUE MELO FILHO,201.0,6.0,7.0,8718874700.0,,Universidade Federal Rural de Pernambuco,matched,120.0,"AUTHLAST(FILHO) AND AUTHFIRST(PERICLES) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
MONALISA ALVES DINIZ DA SILVA CAMARGO PINTO,18.0,3.0,4.0,56986759200.0,,Universidade Federal Rural de Pernambuco,matched,130.0,"AUTHLAST(PINTO) AND AUTHFIRST(MONALISA) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
KEDES PAULO PEREIRA,56.0,5.0,11.0,35070216100.0,,Universidade Federal de Alagoas,matched,70.0,"AUTHLAST(PEREIRA) AND AUTHFIRST(KEDES) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,rejected
VALBERES BERNARDO DO NASCIMENTO,816.0,18.0,31.0,35546400900.0,,Universidade Federal Rural de Pernambuco,matched,123.0,"AUTHLAST(NASCIMENTO) AND AUTHFIRST(VALBERES) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
CLARA NILCE BARBOSA,73.0,5.0,14.0,24733825400.0,,Universidade Federal Rural de Pernambuco,matched,130.0,"AUTHLAST(BARBOSA) AND AUTHFIRST(CLARA) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
BOGDAN DOBOSZEWSKI,848.0,15.0,51.0,6701570592.0,,Universidade Federal Rural de Pernambuco,matched,152.0,"AUTHLAST(DOBOSZEWSKI) AND AUTHFIRST(BOGDAN) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
REINALDO FARIAS PAIVA DE LUCENA,1817.0,18.0,77.0,12345185600.0,,Universidade Federal da Paraíba,matched,70.0,"AUTHLAST(LUCENA) AND AUTHFIRST(REINALDO) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,rejected
HELCIO JOSE BATISTA,356.0,7.0,8.0,6602415328.0,,Universidade Federal Rural de Pernambuco,matched,119.0,"AUTHLAST(BATISTA) AND AUTHFIRST(HELCIO) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
LUCIANO AVALLONE BUENO,1404.0,20.0,68.0,7101949235.0,,Universidade Federal do ABC,matched,73.0,"AUTHLAST(BUENO) AND AUTHFIRST(LUCIANO) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,rejected
ALESSANDRO NICOLI,130.0,7.0,20.0,35722625500.0,,Universidade Federal dos Vales do Jequitinhonha e Mucuri,matched,91.0,"AUTHLAST(NICOLI) AND AUTHFIRST(ALESSANDRO) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,rejected
MARCELO WEINSTEIN TEIXEIRA,62.0,4.0,16.0,34668700800.0,,Universidade Federal Rural de Pernambuco,matched,130.0,"AUTHLAST(TEIXEIRA) AND AUTHFIRST(MARCELO) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
MARIA DE MASCENA DINIZ MAIA,247.0,11.0,20.0,7005342442.0,,Universidade Federal Rural de Pernambuco,matched,131.0,"AUTHLAST(MAIA) AND AUTHFIRST(MARIA) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
