author_name,citation_count,h_index,document_count,scopus_author_id,scopus_indexed_name,scopus_affiliation_name,match_status,match_score,query_used,error_message
ALBANITA GOMES DA COSTA DE CEBALLOS,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
LUIZ FLAVIO ARREGUY MAIA FILHO,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
EMIDIO CANTIDIO ALMEIDA DE OLIVEIRA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
DANIEL FRIGUGLIETTI BRANDESPIM,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
CAROLINA NUNES LIBERAL,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
RAMON RAUDEL PENA GARCIA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
HELINANDO PEQUENO DE OLIVEIRA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
ANA CLAUDIA VAZ DE ARAUJO,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
MARCOS GOMES GHISLANDI,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
VALDEMIR ALEXANDRE DOS SANTOS,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
